"Country.Name","Country.Code","Series.Name","Series.Code","X2013..YR2013.","X2014..YR2014.","X2015..YR2015."
"Albania","ALB","PISA: Mean performance on the mathematics scale","LO.PISA.MAT","..","..","413.157"
"Albania","ALB","PISA: Mean performance on the mathematics scale. Female","LO.PISA.MAT.FE","..","..","417.750029482799"
"Albania","ALB","PISA: Mean performance on the mathematics scale. Male","LO.PISA.MAT.MA","..","..","408.545458736189"
"Albania","ALB","PISA: Mean performance on the reading scale","LO.PISA.REA","..","..","405.2588"
"Albania","ALB","PISA: Mean performance on the reading scale. Female","LO.PISA.REA.FE","..","..","434.639625546737"
"Albania","ALB","PISA: Mean performance on the reading scale. Male","LO.PISA.REA.MA","..","..","375.75919916958"
"Albania","ALB","PISA: Mean performance on the science scale","LO.PISA.SCI","..","..","427.225"
"Albania","ALB","PISA: Mean performance on the science scale. Female","LO.PISA.SCI.FE","..","..","439.442962901842"
"Albania","ALB","PISA: Mean performance on the science scale. Male","LO.PISA.SCI.MA","..","..","414.957643727778"
"Algeria","DZA","PISA: Mean performance on the mathematics scale","LO.PISA.MAT","..","..","359.6062"
"Algeria","DZA","PISA: Mean performance on the mathematics scale. Female","LO.PISA.MAT.FE","..","..","363.072479076874"
"Algeria","DZA","PISA: Mean performance on the mathematics scale. Male","LO.PISA.MAT.MA","..","..","356.495105666181"
"Algeria","DZA","PISA: Mean performance on the reading scale","LO.PISA.REA","..","..","349.8593"
"Algeria","DZA","PISA: Mean performance on the reading scale. Female","LO.PISA.REA.FE","..","..","366.208166798086"
"Algeria","DZA","PISA: Mean performance on the reading scale. Male","LO.PISA.REA.MA","..","..","335.185435908668"
"Algeria","DZA","PISA: Mean performance on the science scale","LO.PISA.SCI","..","..","375.7451"
"Algeria","DZA","PISA: Mean performance on the science scale. Female","LO.PISA.SCI.FE","..","..","383.220938935314"
"Algeria","DZA","PISA: Mean performance on the science scale. Male","LO.PISA.SCI.MA","..","..","369.035233788056"
"Argentina","ARG","PISA: Mean performance on the mathematics scale","LO.PISA.MAT","..","..","409.0333"
"Argentina","ARG","PISA: Mean performance on the mathematics scale. Female","LO.PISA.MAT.FE","..","..","400.443116055612"
"Argentina","ARG","PISA: Mean performance on the mathematics scale. Male","LO.PISA.MAT.MA","..","..","418.388360865522"
"Argentina","ARG","PISA: Mean performance on the reading scale","LO.PISA.REA","..","..","425.3031"
"Argentina","ARG","PISA: Mean performance on the reading scale. Female","LO.PISA.REA.FE","..","..","432.95807959441"
"Argentina","ARG","PISA: Mean performance on the reading scale. Male","LO.PISA.REA.MA","..","..","416.966607209736"
"Argentina","ARG","PISA: Mean performance on the science scale","LO.PISA.SCI","..","..","432.2262"
"Argentina","ARG","PISA: Mean performance on the science scale. Female","LO.PISA.SCI.FE","..","..","424.994351346692"
"Argentina","ARG","PISA: Mean performance on the science scale. Male","LO.PISA.SCI.MA","..","..","440.102029698007"
"Armenia","ARM","PISA: Mean performance on the mathematics scale","LO.PISA.MAT","..","..",".."
"Armenia","ARM","PISA: Mean performance on the mathematics scale. Female","LO.PISA.MAT.FE","..","..",".."
"Armenia","ARM","PISA: Mean performance on the mathematics scale. Male","LO.PISA.MAT.MA","..","..",".."
"Armenia","ARM","PISA: Mean performance on the reading scale","LO.PISA.REA","..","..",".."
"Armenia","ARM","PISA: Mean performance on the reading scale. Female","LO.PISA.REA.FE","..","..",".."
"Armenia","ARM","PISA: Mean performance on the reading scale. Male","LO.PISA.REA.MA","..","..",".."
"Armenia","ARM","PISA: Mean performance on the science scale","LO.PISA.SCI","..","..",".."
"Armenia","ARM","PISA: Mean performance on the science scale. Female","LO.PISA.SCI.FE","..","..",".."
"Armenia","ARM","PISA: Mean performance on the science scale. Male","LO.PISA.SCI.MA","..","..",".."
"Australia","AUS","PISA: Mean performance on the mathematics scale","LO.PISA.MAT","..","..","493.8962"
"Australia","AUS","PISA: Mean performance on the mathematics scale. Female","LO.PISA.MAT.FE","..","..","490.985500770373"
